Kód;Obec;Voliči;Obálky;Platné hlasy;1;2;3;4;44;5;6;ANO 2011;Blok proti islam.-Obran.domova;CESTA ODPOVĚDNÉ SPOLEČNOSTI;Dobrá volba 2016;Dělnic.str.sociální spravedl.;Komunistická str.Čech a Moravy;Křesť.demokr.unie-Čs.str.lid.;Občanská demokratická aliance;Občanská demokratická strana;REALISTÉ;ROZUMNÍ-stop migraci,diktát.EU;Radostné Česko;Referendum o Evropské unii;SPORTOVCI;SPR-Republ.str.Čsl. M.Sládka;STAROSTOVÉ A NEZÁVISLÍ;Strana Práv Občanů;Strana svobodných občanů;Strana zelených;Svob.a př.dem.-T.Okamura (SPD);TOP 09;Česká pirátská strana;Česká str.sociálně demokrat.;Česká strana národně sociální;Řád národa - Vlastenecká unie
589829;Olšany u Prostějova;0;0;0;0;1375;0;0;0;0;0;34,92;0,59;0,00;0,00;0,35;6,67;4,88;0,00;8,58;1,43;1,07;0,00;0,11;0,11;0,35;2,02;0,71;1,07;1,78;16,44;2,26;7,62;8,93;0,00;0,00
589837;Ondratice;0;0;0;289;0;0;0;0;0;0;21,05;0,00;0,58;0,00;0,00;16,37;17,54;0,58;5,26;1,16;2,92;0,00;0,00;0,00;0,00;2,33;0,58;1,16;0,00;16,37;1,16;7,01;5,84;0,00;0,00
589845;Otaslavice;0;0;0;1029;0;0;0;0;0;0;24,11;0,00;0,00;0,30;0,46;11,43;8,65;0,61;12,51;0,30;0,61;0,00;0,30;0,00;0,00;1,39;0,00;0,30;0,46;16,38;2,47;9,11;10,20;0,00;0,30
589853;Otinoves;0;0;0;229;0;0;0;0;0;0;27,97;0,00;0,00;0,00;1,39;11,88;17,48;0,00;2,09;0,00;0,00;0,00;0,00;1,39;0,00;2,09;0,00;0,00;0,00;12,58;3,49;13,98;5,59;0,00;0,00
557196;Pavlovice u Kojetína;0;0;0;232;0;0;0;0;0;0;32,83;0,00;0,00;0,00;0,00;15,67;8,95;0,00;2,98;0,00;0,74;0,00;0,00;0,74;0,00;8,20;0,74;0,74;0,00;14,17;0,74;4,47;8,95;0,00;0,00
589870;Pěnčín;0;0;0;594;0;0;0;0;0;0;32,37;0,00;0,57;0,28;0,28;10,60;11,74;0,00;5,15;0,28;0,57;0,28;0,00;0,57;0,28;3,43;0,28;0,85;0,57;19,48;1,14;4,29;6,30;0,00;0,57
589888;Pivín;0;0;0;565;0;0;0;0;0;0;30,97;0,00;0,00;0,00;0,26;6,29;16,79;0,26;4,98;0,00;0,78;0,26;0,00;0,26;0,00;6,03;0,00;1,31;0,26;20,20;2,62;5,24;3,41;0,00;0,00
589896;Plumlov;0;0;0;0;0;0;0;0;1934;0;26,55;0,17;0,17;0,08;0,17;8,68;9,36;0,34;10,21;0,42;0,25;0,00;0,17;0,25;0,00;2,04;0,08;0,93;1,36;16,76;3,40;10,04;8,51;0,00;0,00
549983;Polomí;0;0;0;124;0;0;0;0;0;0;19,23;0,00;0,00;0,00;0,00;14,10;15,38;0,00;2,56;2,56;1,28;0,00;0,00;1,28;0,00;3,84;0,00;7,69;0,00;10,25;2,56;3,84;15,38;0,00;0,00
589250;Prostějov;0;0;0;0;0;0;0;35975;0;0;30,19;0,12;0,15;0,07;0,33;8,11;6,06;0,11;10,27;0,52;0,57;0,07;0,02;0,13;0,14;2,19;0,32;1,28;1,67;15,57;3,38;9,27;9,19;0,04;0,08
